#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
46.2%	462000	-759150.0163281949	303.80809614837034	596
46.3%	463000	-758884.2516855055	303.54572040162617	596
46.4%	464000	-759044.3600382726	304.1111860624698	596
46.5%	465000	-758878.6976896623	303.54111422832136	596
46.6%	466000	-758684.9530832554	307.2855875514714	597
46.7%	467000	-758794.1579038389	306.07893327227686	596
46.8%	468000	-759043.7052930559	292.4632721458135	596
46.9%	469000	-758809.4284927279	300.2500062513492	596
47.0%	470000	-759138.3978825789	297.3952798703938	597
47.1%	471000	-758858.0136448035	306.53131410598553	597
47.2%	472000	-759049.8151853944	296.33313510386824	597
47.3%	473000	-758978.6519458459	304.8917615956957	597
47.4%	474000	-758895.7756650003	298.20340507018665	597
47.5%	475000	-758923.198447416	291.672763902509	597
47.6%	476000	-758863.3374273756	306.33511449629015	597
47.7%	477000	-759076.084203384	312.6062487659292	597
47.8%	478000	-758851.4577778983	311.5112240556204	597
47.9%	479000	-759045.9626699131	310.9146575635036	597
48.0%	480000	-759061.2238799883	293.0892210059392	597
48.1%	481000	-758930.5481794775	298.00083156208217	597
48.2%	482000	-758902.1273940725	300.38408615738393	597
48.3%	483000	-759033.3993034556	301.9517959417323	597
48.4%	484000	-759146.3449639946	303.26879802637717	597
48.5%	485000	-759092.5377072977	302.1230956651286	597
48.6%	486000	-759096.5332140352	305.6786113652465	597
48.7%	487000	-759047.5965789141	293.292346041315	597
48.8%	488000	-759210.8599991169	301.9790493310962	598
48.9%	489000	-758796.7645505129	294.5262878216752	597
49.0%	490000	-758983.0084731594	297.80904650922105	597
49.1%	491000	-758945.275654248	297.1626727625646	597
49.2%	492000	-758881.7762557142	294.83838686874	597
49.3%	493000	-758709.8945410408	290.98117764188385	597
49.4%	494000	-758927.9266304572	307.90070776004154	597
49.5%	495000	-759086.5765836213	288.12271976616825	597
49.6%	496000	-759127.1334379504	299.8259727884021	597
49.7%	497000	-758923.6322128994	306.3973551210653	597
49.8%	498000	-759012.8991441131	288.6145252745129	597
49.9%	499000	-759091.3524562682	300.99195406100364	597
50.0%	500000	-758971.8684626783	286.1762495719073	597
50.1%	501000	-759113.0281551834	309.40949265271564	597
50.2%	502000	-759062.2912336374	299.08080884700365	597
50.3%	503000	-759034.634747962	295.92605131055313	597
50.4%	504000	-758850.7663870975	285.17363183227013	597
50.5%	505000	-758889.0497874345	302.82820420719656	597
